               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080176,            0.037103,            0.020155,             0.50507,             0.81781,             0.65385,             0.37469,            0.065632,            0.021584,           0.0077414,           0.0032917,           0.0032917,            0.070375
                   1,            0.070251,            0.024429,            0.010092,             0.68729,             0.65164,             0.70215,              0.2687,            0.066437,            0.016438,            0.006845,           0.0065594,           0.0065594,            0.040309
                   2,            0.069381,            0.020847,           0.0086213,             0.55573,             0.81258,             0.71349,             0.30442,            0.062668,            0.013458,           0.0058627,           0.0097612,           0.0097612,            0.010178
                   3,             0.06102,            0.020276,           0.0077481,             0.74703,             0.72773,             0.81277,             0.38057,            0.049515,            0.011868,           0.0060565,            0.009703,            0.009703,            0.009703
                   4,             0.05138,            0.019024,           0.0066846,             0.87115,             0.89007,              0.9248,             0.53706,            0.042786,            0.011091,           0.0055048,            0.009703,            0.009703,            0.009703
                   5,            0.038692,            0.017515,           0.0061952,             0.89969,             0.93597,             0.94306,             0.64858,            0.028852,            0.010278,           0.0048548,            0.009604,            0.009604,            0.009604
                   6,            0.036445,            0.017427,           0.0058212,             0.90647,             0.94053,             0.94505,             0.64708,             0.02557,            0.010409,           0.0046693,            0.009505,            0.009505,            0.009505
                   7,            0.030757,            0.016525,           0.0053617,             0.91874,              0.9497,             0.95468,             0.70701,            0.025693,           0.0099161,           0.0046953,            0.009406,            0.009406,            0.009406
                   8,            0.029017,            0.015798,           0.0052835,             0.92687,              0.9497,             0.96383,             0.70716,            0.025019,            0.010068,           0.0043711,            0.009307,            0.009307,            0.009307
                   9,            0.026997,            0.015017,           0.0042274,             0.93846,              0.9633,             0.96995,             0.79366,            0.017733,           0.0093139,            0.004891,            0.009208,            0.009208,            0.009208
                  10,            0.025626,            0.015029,           0.0046541,             0.97525,             0.93881,              0.9716,             0.72888,            0.025469,            0.010301,           0.0043547,            0.009109,            0.009109,            0.009109
