               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093062,            0.041183,                   0,             0.52003,             0.37539,             0.37134,             0.16912,            0.051986,            0.021976,                   0,           0.0032804,           0.0032804,            0.070476
                   1,            0.068761,             0.03814,                   0,             0.42246,             0.48031,              0.3807,             0.19294,            0.046176,            0.016664,                   0,           0.0065483,           0.0065483,            0.040411
                   2,            0.063057,            0.034473,                   0,             0.37218,             0.40157,             0.30454,             0.12963,            0.047789,            0.014659,                   0,           0.0097501,           0.0097501,            0.010279
                   3,            0.055671,            0.031906,                   0,             0.29287,             0.48031,             0.32275,             0.13446,            0.039888,            0.016699,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.050492,             0.03305,                   0,             0.47006,             0.50394,             0.43823,             0.21696,            0.036696,            0.015127,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.049719,            0.031909,                   0,             0.62608,             0.52756,              0.5474,             0.27951,            0.036086,            0.015305,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.043998,            0.030743,                   0,             0.57702,             0.48819,             0.49629,             0.27544,            0.031682,            0.015839,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042508,            0.030742,                   0,             0.59233,             0.52756,             0.52592,             0.28717,            0.030749,            0.016184,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.04129,            0.031814,                   0,             0.57274,             0.58268,             0.53513,             0.30087,            0.032061,            0.015635,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039389,            0.027246,                   0,             0.53076,             0.66929,             0.54896,             0.34061,            0.030306,            0.014968,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.037697,            0.029342,                   0,             0.57915,             0.54331,             0.49466,             0.27496,            0.028664,            0.015373,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038204,            0.027819,                   0,             0.65646,             0.54331,             0.54306,             0.31269,            0.031408,            0.015761,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036462,            0.028604,                   0,              0.4948,             0.53543,              0.5048,             0.29554,            0.029811,            0.017357,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.036214,            0.026672,                   0,             0.36861,              0.5748,              0.3643,             0.22369,            0.030451,            0.017241,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.035586,            0.027713,                   0,             0.47107,             0.58268,             0.44172,             0.25733,             0.02791,            0.016742,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.034483,            0.027222,                   0,             0.60601,             0.55906,             0.56592,             0.34967,            0.030482,            0.015435,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.034519,            0.027261,                   0,             0.48137,             0.62992,             0.51691,             0.33102,            0.026475,            0.015824,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.032445,             0.02662,                   0,             0.60787,             0.59811,             0.56527,             0.34082,            0.027367,            0.015812,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.031643,            0.025548,                   0,             0.45529,              0.6055,             0.41662,             0.24965,            0.028044,            0.017399,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.032193,            0.024206,                   0,             0.62042,             0.56693,             0.57256,             0.35831,            0.027629,            0.016347,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.03184,            0.025527,                   0,             0.56212,             0.56693,             0.53084,             0.32878,            0.027987,            0.016538,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.031382,            0.023047,                   0,             0.47155,             0.65343,             0.50103,             0.30101,            0.025771,            0.017033,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.029791,            0.023309,                   0,             0.51338,             0.59811,             0.49396,             0.30203,            0.029301,            0.018199,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.031822,            0.024059,                   0,             0.46545,             0.53543,             0.42934,             0.25812,            0.028693,            0.018239,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.029906,            0.023588,                   0,             0.51964,             0.62182,             0.52738,             0.34259,             0.02831,            0.017506,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.029185,            0.022156,                   0,             0.49048,             0.62912,             0.48212,             0.29938,            0.026835,            0.018358,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026622,            0.020641,                   0,               0.472,             0.53497,             0.48461,             0.31034,            0.029122,            0.018791,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.029034,            0.021218,                   0,             0.47763,             0.61417,             0.45438,             0.29622,            0.028114,            0.018758,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.028373,            0.021114,                   0,             0.59726,             0.47877,             0.49487,             0.32201,            0.027555,            0.018126,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.027905,             0.02256,                   0,             0.57754,             0.55118,             0.53554,              0.3484,            0.027317,            0.017797,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.027318,            0.021152,                   0,             0.52569,             0.55906,             0.54139,               0.362,            0.027219,            0.018431,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026627,             0.02112,                   0,             0.57781,             0.49571,             0.53368,             0.35173,            0.026787,            0.017881,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.026585,            0.020861,                   0,             0.48663,             0.57471,             0.48192,             0.32423,            0.028042,            0.018161,                   0,            0.006931,            0.006931,            0.006931
