               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098556,            0.023175,                   0,              0.1613,              0.2077,             0.10683,             0.03261,            0.071889,            0.019547,                   0,           0.0033067,           0.0033067,             0.07024
                   1,            0.066741,            0.018466,                   0,             0.63544,             0.46809,             0.48916,             0.18374,            0.054712,            0.015597,                   0,           0.0065743,           0.0065743,            0.040174
                   2,            0.057676,            0.015477,                   0,             0.86634,             0.43343,             0.56967,             0.18419,             0.05176,            0.012572,                   0,           0.0097759,           0.0097759,            0.010043
                   3,            0.052029,            0.012867,                   0,             0.66982,             0.64438,             0.63057,             0.24029,            0.044873,            0.010537,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.044095,            0.010991,                   0,             0.78374,             0.74536,             0.75714,              0.3925,            0.037961,           0.0088878,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.041476,           0.0092978,                   0,             0.81774,             0.66464,             0.76533,             0.34122,            0.042137,           0.0080553,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.039289,           0.0090664,                   0,             0.91655,             0.73446,             0.80278,             0.46018,            0.034334,           0.0077736,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.038635,           0.0088464,                   0,             0.85146,              0.7619,              0.7971,             0.41621,            0.037211,           0.0079616,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038135,             0.00846,                   0,             0.85598,              0.7828,             0.84112,             0.49779,            0.034181,           0.0070993,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.035293,           0.0080416,                   0,               0.879,             0.80224,             0.84762,             0.49172,            0.032866,           0.0069821,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035515,           0.0082908,                   0,             0.84946,             0.77305,              0.8097,             0.44294,             0.03504,           0.0072972,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033553,           0.0077031,                   0,             0.85055,              0.8075,             0.83953,             0.47793,            0.031516,            0.007029,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.033726,           0.0076501,                   0,             0.90289,             0.79129,             0.85162,             0.48634,            0.031327,           0.0070682,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033573,           0.0075014,                   0,             0.89932,             0.81453,             0.85593,             0.53298,             0.03087,           0.0067663,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032385,           0.0074861,                   0,             0.93404,             0.78912,             0.85774,             0.53529,            0.029921,           0.0067649,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032489,           0.0071396,                   0,             0.89368,             0.81754,             0.85765,             0.53523,            0.028944,           0.0066255,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031861,           0.0074713,                   0,             0.88161,             0.82371,             0.85363,             0.53376,            0.029862,           0.0068646,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.030165,           0.0072563,                   0,             0.91103,             0.76776,             0.83276,             0.52709,            0.029852,           0.0069236,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.030548,           0.0072898,                   0,             0.90074,              0.7931,             0.84531,             0.52184,            0.030131,           0.0070476,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.030193,           0.0071172,                   0,             0.91026,             0.80243,              0.8581,             0.54907,            0.029015,           0.0065617,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.029969,           0.0068784,                   0,             0.89637,             0.81947,             0.85268,             0.52015,            0.029541,           0.0067796,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.028796,           0.0068064,                   0,             0.89578,             0.81864,             0.85628,             0.51542,             0.02995,           0.0067165,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.029616,           0.0070614,                   0,             0.89696,               0.786,             0.84082,             0.52982,            0.029917,           0.0070956,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.028789,           0.0069155,                   0,             0.90363,             0.80749,             0.86336,             0.55038,            0.027763,           0.0063963,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.028054,           0.0064558,                   0,             0.89158,             0.81647,              0.8644,             0.55865,            0.028983,           0.0064525,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.027808,            0.006537,                   0,             0.92343,             0.80648,             0.86464,             0.54214,            0.028932,            0.006403,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.027278,            0.006535,                   0,             0.89951,             0.83485,              0.8765,             0.57206,             0.02733,           0.0064408,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.02781,           0.0065361,                   0,             0.90595,             0.83147,             0.86162,             0.53401,            0.029859,           0.0064715,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.026906,           0.0063853,                   0,             0.89291,             0.83688,             0.86967,             0.57272,            0.027581,           0.0062444,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.026897,           0.0065664,                   0,             0.90376,             0.81864,             0.86567,             0.55882,            0.027833,           0.0063426,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.026699,           0.0065109,                   0,             0.91373,             0.79513,             0.86673,             0.55644,            0.028243,           0.0067008,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026041,           0.0063566,                   0,              0.9031,             0.82239,             0.86531,             0.56759,             0.02754,           0.0063822,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.026208,            0.006423,                   0,             0.88519,             0.83665,             0.87335,             0.58023,             0.02727,           0.0064482,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.025332,           0.0063616,                   0,             0.89032,             0.84059,              0.8699,             0.56471,            0.026498,           0.0063252,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.02571,           0.0062432,                   0,             0.89738,             0.84195,             0.87951,             0.57679,            0.026427,           0.0062027,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.024905,           0.0059445,                   0,             0.90609,             0.83181,             0.87639,             0.57449,            0.027304,           0.0062371,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.025359,           0.0060674,                   0,             0.93501,             0.80488,             0.87458,             0.58203,            0.026775,           0.0063861,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.025006,           0.0063306,                   0,              0.9039,             0.83249,             0.87465,             0.58323,            0.027085,           0.0063995,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.024593,            0.005993,                   0,             0.90208,             0.83237,             0.87539,             0.57392,             0.02741,           0.0062827,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.024441,            0.005738,                   0,             0.91197,             0.82979,             0.87226,              0.5626,            0.026814,           0.0063214,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023564,           0.0058645,                   0,             0.91077,             0.82944,             0.87303,              0.5785,            0.026697,           0.0064468,                   0,            0.006139,            0.006139,            0.006139
